# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
8.095875	1.379437	8.110703	3.491317	8.125531	0.671407	8.140359	1.59917	8.155188	2.063051	8.170016	0.854518	8.184844	1.293985	8.199672	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
8.214875	1.379437	8.229719	3.503525	8.244562	0.671407	8.259406	1.59917	8.27425	2.038636	8.289094	0.854518	8.303937	1.306192	8.318781	1.733451	0.170904	0.170904	0.134281	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
8.334	1.367229	8.348812	3.491317	8.363625	0.671407	8.378438	1.586962	8.39325	2.038636	8.408062	0.842311	8.422875	1.293985	8.437688	1.733451	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
8.453	1.379437	8.467828	3.503525	8.482656	0.671407	8.497484	1.586962	8.512313	2.038636	8.527141	0.854518	8.541969	1.330607	8.556797	1.721244	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
8.572125	1.367229	8.586953	3.503525	8.601781	0.6592	8.616609	1.59917	8.631438	2.050844	8.646266	0.854518	8.661094	1.306192	8.675922	1.770074	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
8.691125	1.367229	8.705953	3.503525	8.720781	0.683615	8.735609	1.586962	8.750438	2.026429	8.765266	0.854518	8.780094	1.293985	8.794922	1.757866	0.183111	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
8.810125	1.367229	8.824969	3.515732	8.839812	0.683615	8.854656	1.59917	8.8695	2.063051	8.884344	0.854518	8.899188	1.293985	8.914031	1.733451	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
8.92925	1.379437	8.944062	3.491317	8.958875	0.671407	8.973688	1.586962	8.9885	2.038636	9.003312	0.842311	9.018125	1.293985	9.032938	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
9.04825	1.379437	9.063078	3.515732	9.077906	0.671407	9.092734	1.59917	9.107563	2.050844	9.122391	0.830103	9.137219	1.281777	9.152047	1.721244	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
9.167375	1.367229	9.182203	3.503525	9.197031	0.671407	9.211859	1.586962	9.226688	2.038636	9.241516	0.830103	9.256344	1.293985	9.271172	1.733451	0.183111	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
9.2865	1.367229	9.301328	3.503525	9.316156	0.671407	9.330984	1.59917	9.345813	2.050844	9.360641	0.854518	9.375469	1.293985	9.390297	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
